Variable	Type	Description	Workflow
amrfinderplus_all_report	File	Output TSV file from AMRFinderPlus (described <https://github.com/ncbi/amr/wiki/Running-AMRFinderPlus#fields>)	AMRFinderPlus, TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
amrfinderplus_amr_betalactam_betalactam_genes	String	Beta-lactam AMR genes identified by AMRFinderPlus that are known to confer resistance to beta-lactams	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
amrfinderplus_amr_betalactam_carbapenem_genes	String	Beta-lactam AMR genes identified by AMRFinderPlus that are known to confer resistance to carbapenem	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
amrfinderplus_amr_betalactam_cephalosporin_genes	String	Beta-lactam AMR genes identified by AMRFinderPlus that are known to confer resistance to cephalosporin	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
amrfinderplus_amr_betalactam_cephalothin_genes	String	Beta-lactam AMR genes identified by AMRFinderPlus that are known to confer resistance to cephalothin	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
amrfinderplus_amr_betalactam_genes	String	Beta-lactam AMR genes identified by AMRFinderPlus	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
amrfinderplus_amr_betalactam_methicillin_genes	String	Beta-lactam AMR genes identified by AMRFinderPlus that are known to confer resistance to methicilin	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
amrfinderplus_amr_classes	String	AMRFinderPlus predictions for classes of drugs that genes found in the reads are known to confer resistance to	AMRFinderPlus, TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
amrfinderplus_amr_core_genes	String	AMR genes identified by AMRFinderPlus where the scope is "core"	AMRFinderPlus, TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
amrfinderplus_amr_plus_genes	String	AMR genes identified by AMRFinderPlus where the scope is "plus"	AMRFinderPlus, TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
amrfinderplus_amr_report	File	TSV file detailing AMR genes only, from the amrfinderplus_all_report	AMRFinderPlus, TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
amrfinderplus_amr_subclasses	String	More specificity about the drugs that genes identified in the reads confer resistance to	AMRFinderPlus, TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
amrfinderplus_db_version	String	AMRFinderPlus database version used	AMRFinderPlus, TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
amrfinderplus_stress_genes	String	Stress genes identified by AMRFinderPlus	AMRFinderPlus, TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
amrfinderplus_stress_report	File	TSV file detailing stress genes only, from the amrfinderplus_all_report	AMRFinderPlus, TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
amrfinderplus_version	String	AMRFinderPlus version used	AMRFinderPlus, TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
amrfinderplus_virulence_genes	String	Virulence genes identified by AMRFinderPlus	AMRFinderPlus, TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
amrfinderplus_virulence_report	File	TSV file detailing virulence genes only, from the amrfinderplus_all_report	AMRFinderPlus, TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
amrfinderplus_wf_analysis_date	String	Date of analysis	AMRFinderPlus
amrfinderplus_wf_version	String	Version of PHB used for the analysis	AMRFinderPlus
ani_highest_percent	Float	Highest ANI between query and any given reference genome (top species match)	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
ani_highest_percent_bases_aligned	Float	Percentage of bases aligned between query genome and top species match	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
ani_mummer_docker	String	Docker image used to run the ANI_mummer task	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
ani_mummer_version	String	Version of MUMmer used	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
ani_output_tsv	File	Full output TSV from ani-m	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
ani_top_species_match	String	Species of genome with highest ANI to query FASTA	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
arln_r2_q30_raw	String	Q30% of the raw R2 FASTQ	TheiaProk_PE
arln_r1_q30_clean	String	Q30% of the cleaned R1 FASTQ	TheiaProk_ONT, TheiaProk_PE, TheiaProk_SE
arln_r2_q30_clean	String	Q30% of the cleaned R2 FASTQ	TheiaProk_PE
arln_assembly_ratio	String	Assembly ratio of the final assembly compared to the mean assembly length of the taxon. These stats are gathered from a statistics file created by the CDC aggregating NCBI assembly data by taxon.	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_PE, TheiaProk_SE
arln_taxon_assembly_ratio_stdev	String	Reported assembely length standard deviation of the given taxonomy pulled from NCBI aggregated data.	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_PE, TheiaProk_SE
arln_taxon_gc_percent_stdev	String	Reported GC percent standard deviation of the given taxonomy pulled from NCBI aggregated data.	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_PE, TheiaProk_SE
arln_taxon_gc_mean	String	Mean GC percent of the taxon.	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_PE, TheiaProk_SE
arln_assembly_zscore	String	ZScore of the samples assembly length to assess the uniformity of the assembly when compared to taxon means.	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_PE, TheiaProk_SE
arln_stats_docker_version	String	Docker version for task_arln_stats.wdl	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_PE, TheiaProk_SE
artic_docker	String	Docker image utilized for read trimming and consensus genome assembly	TheiaCoV_ClearLabs, TheiaCoV_ONT
artic_version	String	Version of the Artic software utilized for read trimming and conesnsus genome assembly	TheiaCoV_ClearLabs, TheiaCoV_ONT
assembler	String	Assembler used in digger_denovo subworkflow	TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
assembler_version	String	Version of the assembler used in digger_denovo	TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
assembly_fasta	String	Consensus genome assembly; for lower quality flu samples, the output may state "Assembly could not be generated" when there is too little and/or too low quality data for IRMA to produce an assembly. Contigs will be ordered from largest to smallest when IRMA is used.	TheiaCoV_Illumina_PE, TheiaCoV_ONT
assembly_fasta	File	Consensus genome assembly; for lower quality flu samples, the output may state "Assembly could not be generated" when there is too little and/or too low quality data for IRMA to produce an assembly. Contigs will be ordered from largest to smallest when IRMA is used.	TheiaCoV_ClearLabs, TheiaCoV_Illumina_SE
assembly_fasta	File	_De novo_ genome assembly in FASTA format	TheiaEuk_Illumina_PE, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE, TheiaEuk_ONT
assembly_fasta	File	The final recovered metagenome-assembled genome (MAG). _"A MAG represents a microbial genome by a group of sequences from genome assembly with similar characteristics. It enables [the identification of] novel species [to] understand their potential functions in a dynamic ecosystem"_[^1]	TheiaMeta_Illumina_PE
assembly_fetch_analysis_date	String	The date the workflow was run	Assembly_Fetch
assembly_fetch_ncbi_datasets_assembly_data_report_json	File	JSON file containing report about assembly downloaded by Asembly_Fetch	Assembly_Fetch
assembly_fetch_ncbi_datasets_assembly_fasta	File	FASTA file downloaded by Assembly_Fetch	Assembly_Fetch
assembly_fetch_ncbi_datasets_docker	String	Docker file used for NCBI datasets	Assembly_Fetch
assembly_fetch_ncbi_datasets_gff	File	Assembly downloaded by Assembly_Fetch in GFF3 format	Assembly_Fetch
assembly_fetch_ncbi_datasets_gff3	File	Assembly downloaded by Assembly_Fetch in GFF format	Assembly_Fetch
assembly_fetch_ncbi_datasets_version	String	NCBI datasets version used	Assembly_Fetch
assembly_fetch_referenceseeker_database	String	ReferenceSeeker database used	Assembly_Fetch
assembly_fetch_referenceseeker_docker	String	Docker file used for ReferenceSeeker	Assembly_Fetch
assembly_fetch_referenceseeker_top_hit_ncbi_accession	String	NCBI Accession for the top hit identified by Assembly_Fetch	Assembly_Fetch
assembly_fetch_referenceseeker_tsv	File	TSV file of the top hits between the query genome and the Reference Seeker database	Assembly_Fetch
assembly_fetch_referenceseeker_version	String	ReferenceSeeker version used	Assembly_Fetch
assembly_fetch_version	String	The version of the repository the Assembly Fetch workflow is in	Assembly_Fetch
assembly_length	Int	Length of assembly (total contig length) as determined by QUAST	TheiaEuk_Illumina_PE, TheiaMeta_Illumina_PE, TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE, TheiaEuk_ONT
assembly_length_unambiguous	Int	Number of unambiguous basecalls within the consensus assembly	TheiaCoV_ClearLabs, TheiaCoV_FASTA, TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE
assembly_mean_coverage	String	Mean sequencing depth throughout the consensus assembly. Generated after performing primer trimming and calculated using the SAMtools coverage command	TheiaCoV_Illumina_PE, TheiaCoV_ONT
assembly_mean_coverage	Float	Mean sequencing depth throughout the consensus assembly. Generated after performing primer trimming and calculated using the SAMtools coverage command	TheiaCoV_ClearLabs, TheiaCoV_Illumina_SE, TheiaMeta_Illumina_PE
assembly_method	String	Method employed to generate consensus assembly	TheiaCoV_ClearLabs, TheiaCoV_FASTA, TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE
augur_fasttree_version	String	The fasttree version used, blank if other tree method used	Augur
augur_iqtree_model_used	String	The iqtree model used during augur tree, blank if iqtree not used	Augur
augur_iqtree_version	String	The iqtree version used during augur tree (defualt), blank if other tree method used	Augur
augur_mafft_version	String	The mafft version used in augur align	Augur
augur_metadata	File	TSV file of the metadata provided as input to the workflow in the proper format for Augur analysis	Augur_Prep
augur_phb_analysis_date	String	The date the analysis was run	Augur
augur_phb_version	String	The version of the Public Health Bioinformatics (PHB) repository used	Augur
augur_prep_phb_analysis_date	String	Date of analysis	Augur_Prep
augur_prep_phb_version	String	Version of the Public Health Bioinformatics (PHB) repository used	Augur_Prep
augur_raxml_version	String	The version of raxml used during augur tree, blank if other tree method used	Augur
augur_version	String	Version of Augur used	Augur
auspice_input_json	File	JSON file used as input to Auspice	Augur
auspice_json	File	Auspice-compatable JSON output generated from Nextclade analysis that includes the Nextclade default samples for clade-typing and the single sample placed on this tree	TheiaCoV_ClearLabs, TheiaCoV_FASTA, TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE
auspice_json_flu_h5n1	File	Auspice-compatable JSON output generated from Nextclade analysis on Influenza H5N1 whole genome that includes the samples included in the "avian-flu/h5n1-cattle-outbreak" nextstrain build that is focused on B3.13 genotype and the single sample placed on this tree	TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_FASTA
auspice_json_flu_ha	File	Auspice-compatable JSON output generated from Nextclade analysis on Influenza HA segment that includes the Nextclade default samples for clade-typing and the single sample placed on this tree	TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaViral_Illumina_PE, TheiaViral_ONT, TheiaCoV_FASTA
auspice_json_flu_na	File	Auspice-compatable JSON output generated from Nextclade analysis on Influenza NA segment that includes the Nextclade default samples for clade-typing and the single sample placed on this tree	TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaViral_Illumina_PE, TheiaViral_ONT, TheiaCoV_FASTA
auspice_json_mpxv	File	Auspice-compatable JSON output generated from Nextclade analysis on Monkeypox virus that includes the Nextclade default samples for clade-typing and the single sample placed on this tree	TheiaViral_Illumina_PE, TheiaViral_ONT
auspice_json_rabies	File	Auspice-compatable JSON output generated from Nextclade analysis on Rabies virus that includes the Nextclade default samples for clade-typing and the single sample placed on this tree	TheiaViral_Illumina_PE, TheiaViral_ONT
bakta_gbff	File	Genomic GenBank format annotation file	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
bakta_gff3	File	Generic Feature Format Version 3 file	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
bakta_plot	File	Bakta plot output PNG file summarizing annotated genome features such as coding sequences, RNA genes, and hypothetical proteins.	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
bakta_summary	File	Bakta summary output TXT file	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
bakta_tsv	File	Annotations as simple human readable TSV	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
bakta_version	String	Bakta version used	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
bandage_plot	File	Image file (PNG) visualizing the Flye assembly graph generated by Bandage	TheiaProk_ONT, TheiaEuk_ONT
bandage_version	String	Version of Bandage used	TheiaProk_ONT
bankit_sqn_to_email	File	**Only for mpox submission**: the sqn file that you will use to submit mpox assembly files to NCBI via email	Mercury_Prep_N_Batch
bankit_fasta	File	**Only for mpox submission**: the fasta file that you will use to submit mpox assembly files to NCBI via email	Mercury_Prep_N_Batch
bankit_metadata	File	**Only for mpox submission**: the metadata file that you will use to submit mpox assembly files to NCBI via email	Mercury_Prep_N_Batch
basespace_fetch_analysis_date	String	The date the workflow was run	BaseSpace_Fetch
basespace_fetch_version	String	The version of the repository the Basespace_Fetch workflow is in	BaseSpace_Fetch
bbduk_docker	String	The Docker image for bbduk, which was used to remove the adapters from the sequences	Freyja (Illumina paired-end), Freyja (Illumina single-end), TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE, TheiaMeta_Illumina_PE, TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE, TheiaViral_Illumina_PE
bedtools_docker	String	The Docker image for bedtools, which was used to calculate coverage	TheiaMeta_Illumina_PE
bedtools_version	String	The version of bedtools, which was used to calculate coverage	TheiaMeta_Illumina_PE
biosample_failures	File	Text file listing samples that failed BioSample submission	Terra_2_NCBI
biosample_metadata	File	BioSample metadata TSV file for upload to NCBI	Mercury_Prep_N_Batch
biosample_metadata	File	Metadata used for BioSample submission in proper BioSample formatting	Terra_2_NCBI
biosample_report_xmls	Array[File]	One or more XML files that contain the response from NCBI regarding your BioSample submission. These can be pretty cryptic, but often contain information to determine  if anything went wrong	Terra_2_NCBI
biosample_status	String	String showing whether BioSample submission was successful	Terra_2_NCBI
biosample_submission_xml	File	XML file used to submit your BioSamples to NCBI	Terra_2_NCBI
busco_database	String	BUSCO database used	TheiaEuk_Illumina_PE, TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
busco_docker	String	BUSCO docker image used	TheiaEuk_Illumina_PE, TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
busco_report	File	A plain text summary of the results in BUSCO notation	TheiaEuk_Illumina_PE, TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
busco_results	String	BUSCO results (see relevant toggle in [this block](https://theiagen.github.io/public_health_bioinformatics/latest/workflows/genomic_characterization/theiaprok/#post-assembly-tasks-performed-for-all-taxa))	TheiaEuk_Illumina_PE, TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
busco_version	String	BUSCO software version used	TheiaEuk_Illumina_PE, TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
bwa_version	String	Version of BWA software used	Freyja (Illumina paired-end), Freyja (Illumina single-end), TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE, TheiaProk_ONT, TheiaViral_Illumina_PE, TheiaEuk_ONT
cauris_cladetyper_wf_analysis_date	String	Date of analysis	Cauris_Cladetyper
cauris_cladetyper_wf_version	String	Version of PHB used for the analysis	Cauris_Cladetyper
cg_pipeline_docker	String	Docker file used for running CG-Pipeline on cleaned reads	TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
cg_pipeline_report	File	TSV file of read metrics from raw reads, including average read length, number of reads, and estimated genome coverage	TheiaEuk_Illumina_PE
cg_pipeline_report_clean	File	TSV file of read metrics from clean reads, including average read length, number of reads, and estimated genome coverage	TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
cg_pipeline_report_raw	File	TSV file of read metrics from raw reads, including average read length, number of reads, and estimated genome coverage	TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
cladetyper_annotated_reference	String	The annotated reference file for the identified clade, "None" if no clade was identified/no annotation is inputted	Cauris_Cladetyper, TheiaEuk_Illumina_PE, TheiaEuk_ONT
cladetyper_clade	String	The clade assigned to the input assembly	Cauris_Cladetyper, TheiaEuk_Illumina_PE, TheiaEuk_ONT
cladetyper_docker_image	String	The Docker container used for the task	Cauris_Cladetyper, TheiaEuk_Illumina_PE, TheiaEuk_ONT
cladetyper_gambit_version	String	The version of GAMBIT used for the analysis	Cauris_Cladetyper, TheiaEuk_Illumina_PE
cladetyper_version	String	The version of Cladetyper used for the analysis	TheiaEuk_ONT
clair3_docker_image	String	Version of the Docker container used for Clair3 variant calling	Clair3_Variants_ONT
clair3_model_used	String	Name of the Clair3 model used for variant calling	Clair3_Variants_ONT
clair3_variants_gvcf	File	Optional genome VCF file containing information about all genomic positions, including non-variant sites	Clair3_Variants_ONT
clair3_variants_vcf	File	Final merged VCF file containing high-confidence variant calls, combining results from both pileup and full-alignment approaches	Clair3_Variants_ONT
clair3_variants_wf_version	String	Version of the PHB workflow used	Clair3_Variants_ONT
clair3_version	String	Clair3 Version being used	Clair3_Variants_ONT, TheiaViral_ONT
clockwork_decontaminated_read1	File	Decontaminated forward reads by Clockwork	TheiaProk_Illumina_PE
clockwork_decontaminated_read2	File	Decontaminated reverse reads by Clockwork	TheiaProk_Illumina_PE
combined_assemblies	File	Concatenated FASTA file containing all samples	Augur
combined_mean_q_clean	Float	Mean quality score for the combined clean reads	TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE
combined_mean_q_raw	Float	Mean quality score for the combined raw reads	TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE
combined_mean_readlength_clean	Float	Mean read length for the combined clean reads	TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE
combined_mean_readlength_raw	Float	Mean read length for the combined raw reads	TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE
concatenate_column_content_analysis_date	String	The date the workflow was run	Concatenate_Column_Content
concatenate_column_content_version	String	The version of the repository the workflow is hosted in	Concatenate_Column_Content
concatenate_czgenepi_fasta	File	The concatenated fasta file with the renamed headers (the headers are renamed to account for clearlabs data which has unique headers)	CZGenEpi_Prep
concatenate_czgenepi_metadata	File	The concatenated metadata that was extracted from the terra table using the specified columns	CZGenEpi_Prep
concatenate_illumina_lanes_analysis_date	String	Date of analysis	Concatenate_Illumina_Lanes
concatenate_illumina_lanes_version	String	Version of PHB used for the analysis	Concatenate_Illumina_Lanes
concatenated_files	File	The file containing all of the items from the column you selected.	Concatenate_Column_Content
concatenated_variants	File	The concatenated variants without presence/absence	Find_Shared_Variants
consensus_flagstat	File	Output from the SAMtools flagstat command to assess quality of the alignment file (BAM)	TheiaCoV_ClearLabs, TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE
consensus_n_variant_min_depth	Int	Minimum read depth to call variants for iVar consensus and iVar variants. Also represents the minimum consensus support threshold used by IRMA with Illumina Influenza data.	TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE, TheiaViral_Illumina_PE
consensus_stats	File	Output from the SAMtools stats command to assess quality of the alignment file (BAM)	TheiaCoV_ClearLabs, TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE
