Terra Task Name	Variable	Type	Description	Default Value	Terra Status	Workflow	Organism
flu_track	genoflu_cross_reference	File	An Excel file to cross-reference BLAST findings; probably useful if novel genotypes are not in the default file used by genoflu.py		Optional	FASTA, ONT, PE	flu
flu_track	genoflu_disk_size	Int	Amount of storage (in GB) to allocate to the task	25	Optional	FASTA, ONT, PE	flu
flu_track	genoflu_docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/genoflu:1.06	Optional	FASTA, ONT, PE	flu
flu_track	genoflu_memory	Int	Amount of memory/RAM (in GB) to allocate to the task	2	Optional	FASTA, ONT, PE	flu
flu_track	genoflu_min_percent_identity	Float	Percent identity threshold used for calling matches for each genome segment that make up the final GenoFlu genotype	98.0	Optional	FASTA, ONT, PE	flu
flu_track	irma_cpu	Int	Number of CPUs to allocate to the task	4	Optional	ONT, PE	flu
flu_track	irma_disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	ONT, PE	flu
flu_track	irma_docker_image	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/irma:1.2.0	Optional	ONT, PE	flu
flu_track	irma_keep_ref_deletions	Boolean	True/False variable that determines if sites missed (i.e. 0 reads for a site in the reference genome) during read gathering should be deleted by ambiguation by inserting `N`'s or deleting the sequence entirely. False sets this IRMA paramater to `"DEL"` and true sets it to `"NNN"`	True	Optional	ONT, PE	flu
flu_track	irma_memory	Int	Amount of memory/RAM (in GB) to allocate to the task	16	Optional	ONT, PE	flu
flu_track	irma_min_ambiguous_threshold	Float	Minimum called Single Nucleotide Variant (SNV) frequency for mixed based calls in the output consensus assembly (AKA amended consensus).	0.20	Optional	ONT, PE	flu
flu_track	irma_min_avg_consensus_allele_quality	Int	Minimum allele coverage depth to call plurality consensus, otherwise calls "N". Setting this value too high can negatively impact final amended consensus.	10	Optional	ONT, PE	flu
flu_track	irma_min_read_length	Int	Minimum read length to include reads in read gathering step in IRMA. This value should not be greater than the typical read length.	75	Optional	ONT, PE	flu
flu_track	nextclade_cpu	Int	Number of CPUs to allocate to the task	2	Optional	ONT, PE	flu
flu_track	nextclade_disk_size	Int	Amount of storage (in GB) to allocate to the task	50	Optional	ONT, PE	flu
flu_track	nextclade_docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/nextstrain/nextclade:3.10.2	Optional	ONT, PE	flu
flu_track	nextclade_memory	Int	Amount of memory/RAM (in GB) to allocate to the task	4	Optional	ONT, PE	flu
flu_track	nextclade_output_parser_cpu	Int	Number of CPUs to allocate to the task	2	Optional	CL, FASTA, ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
flu_track	nextclade_output_parser_disk_size	Int	Amount of storage (in GB) to allocate to the task	50	Optional	CL, FASTA, ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
flu_track	nextclade_output_parser_docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/python/python:3.8.18-slim	Optional	CL, FASTA, ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
flu_track	nextclade_output_parser_memory	Int	Amount of memory/RAM (in GB) to allocate to the task	4	Optional	CL, FASTA, ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
flu_track	read2	File	Internal component. Do not use.		Optional	ONT	flu
gene_coverage	cpu	Int	Number of CPUs to allocate to the task	2	Optional	CL, ONT, PE, SE	MPXV, sars-cov-2
gene_coverage	disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	CL, ONT, PE, SE	MPXV, sars-cov-2
gene_coverage	docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/samtools:1.15	Optional	CL, ONT, PE, SE	MPXV, sars-cov-2
gene_coverage	memory	Int	Amount of memory/RAM (in GB) to allocate to the task	8	Optional	CL, ONT, PE, SE	MPXV, sars-cov-2
gene_coverage	min_depth	Int	The minimum depth to determine if a position was covered.	10	Optional	ONT, PE, SE	MPXV, sars-cov-2
gene_coverage	sc2_s_gene_start	Int	start nucleotide position of the SARS-CoV-2 Spike gene	21563	Optional	CL, ONT, PE, SE	MPXV, sars-cov-2
gene_coverage	sc2_s_gene_stop	Int	End/Last nucleotide position of the SARS-CoV-2 Spike gene	25384	Optional	CL, ONT, PE, SE	MPXV, sars-cov-2
ivar_consensus	ivar_bwa_cpu	Int	Number of CPUs to allocate to the task	6	Optional	SE,PE	HIV, MPXV, WNV, rsv_a, rsv_b, sars-cov-2
ivar_consensus	ivar_bwa_disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	SE,PE	HIV, MPXV, WNV, rsv_a, rsv_b, sars-cov-2
ivar_consensus	ivar_bwa_docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/ivar:1.3.1-titan	Optional	SE,PE	HIV, MPXV, WNV, rsv_a, rsv_b, sars-cov-2
ivar_consensus	ivar_bwa_memory	Int	Amount of memory/RAM (in GB) to allocate to the task	16	Optional	SE,PE	HIV, MPXV, WNV, rsv_a, rsv_b, sars-cov-2
ivar_consensus	ivar_consensus_cpu	Int	Number of CPUs to allocate to the task	2	Optional	SE,PE	HIV, MPXV, WNV, rsv_a, rsv_b, sars-cov-2
ivar_consensus	ivar_consensus_disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	SE,PE	HIV, MPXV, WNV, rsv_a, rsv_b, sars-cov-2
ivar_consensus	ivar_consensus_docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/ivar:1.3.1-titan	Optional	SE,PE	HIV, MPXV, WNV, rsv_a, rsv_b, sars-cov-2
ivar_consensus	ivar_consensus_memory	Int	Amount of memory/RAM (in GB) to allocate to the task	8	Optional	SE,PE	HIV, MPXV, WNV, rsv_a, rsv_b, sars-cov-2
ivar_consensus	ivar_trim_primers_cpu	Int	Number of CPUs to allocate to the task	2	Optional	SE,PE	HIV, MPXV, WNV, rsv_a, rsv_b, sars-cov-2
ivar_consensus	ivar_trim_primers_disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	SE,PE	HIV, MPXV, WNV, rsv_a, rsv_b, sars-cov-2
ivar_consensus	ivar_trim_primers_docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/ivar:1.3.1-titan	Optional	SE,PE	HIV, MPXV, WNV, rsv_a, rsv_b, sars-cov-2
ivar_consensus	ivar_trim_primers_memory	Int	Amount of memory/RAM (in GB) to allocate to the task	8	Optional	SE,PE	HIV, MPXV, WNV, rsv_a, rsv_b, sars-cov-2
ivar_consensus	ivar_variant_cpu	Int	Number of CPUs to allocate to the task	2	Optional	SE,PE	HIV, MPXV, WNV, rsv_a, rsv_b, sars-cov-2
ivar_consensus	ivar_variant_disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	SE,PE	HIV, MPXV, WNV, rsv_a, rsv_b, sars-cov-2
ivar_consensus	ivar_variant_docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/ivar:1.3.1-titan		SE,PE	HIV, MPXV, WNV, rsv_a, rsv_b, sars-cov-2
ivar_consensus	ivar_variant_memory	Int	Amount of memory/RAM (in GB) to allocate to the task	8	Optional	SE,PE	HIV, MPXV, WNV, rsv_a, rsv_b, sars-cov-2
ivar_consensus	read2	File	Internal component, do not modify		Do not modify, Optional	SE	HIV, MPXV, WNV, rsv_a, rsv_b, sars-cov-2
ivar_consensus	skip_N	Boolean	True/False variable that determines if regions with depth less than minimum depth should not be added to the consensus sequence	FALSE	Optional	PE, SE	HIV, MPXV, WNV, rsv_a, rsv_b, sars-cov-2
ivar_consensus	stats_n_coverage_cpu	Int	Number of CPUs to allocate to the task	2	Optional	SE,PE	HIV, MPXV, WNV, rsv_a, rsv_b, sars-cov-2
ivar_consensus	stats_n_coverage_disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	SE,PE	HIV, MPXV, WNV, rsv_a, rsv_b, sars-cov-2
ivar_consensus	stats_n_coverage_docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/samtools:1.15		SE,PE	HIV, MPXV, WNV, rsv_a, rsv_b, sars-cov-2
ivar_consensus	stats_n_coverage_memory	Int	Amount of memory/RAM (in GB) to allocate to the task	8	Optional	SE,PE	HIV, MPXV, WNV, rsv_a, rsv_b, sars-cov-2
ivar_consensus	stats_n_coverage_primtrim_cpu	Int	Number of CPUs to allocate to the task	2	Optional	SE,PE	HIV, MPXV, WNV, rsv_a, rsv_b, sars-cov-2
ivar_consensus	stats_n_coverage_primtrim_disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	SE,PE	HIV, MPXV, WNV, rsv_a, rsv_b, sars-cov-2
ivar_consensus	stats_n_coverage_primtrim_docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/samtools:1.15	Optional	SE,PE	HIV, MPXV, WNV, rsv_a, rsv_b, sars-cov-2
ivar_consensus	stats_n_coverage_primtrim_memory	Int	Amount of memory/RAM (in GB) to allocate to the task	8	Optional	SE,PE	HIV, MPXV, WNV, rsv_a, rsv_b, sars-cov-2
kraken2_dehosted	cpu	Int	Number of CPUs to allocate to the task	4	Optional	CL	sars-cov-2
kraken2_dehosted	disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	CL	sars-cov-2
kraken2_dehosted	docker_image	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/kraken2:2.1.2-no-db	Optional	CL	sars-cov-2
kraken2_dehosted	kraken2_db	File	The database used to run Kraken2. Must contain viral and human sequences.	"gs://theiagen-large-public-files-rp/terra/databases/kraken2/kraken2_humanGRCh38_viralRefSeq_20240828.tar.gz"	Optional	CL	sars-cov-2
kraken2_dehosted	memory	Int	Amount of memory/RAM (in GB) to allocate to the task	8	Optional	CL	sars-cov-2
kraken2_dehosted	read2	File	Internal component, do not modify		Do not modify, Optional	CL	sars-cov-2
kraken2_raw	cpu	Int	Number of CPUs to allocate to the task	4	Optional	CL	sars-cov-2
kraken2_raw	disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	CL	sars-cov-2
kraken2_raw	docker_image	Int	Docker container used in this task	us-docker.pkg.dev/general-theiagen/staphb/kraken2:2.1.2-no-db	Optional	CL	sars-cov-2
kraken2_raw	kraken2_db	File	The database used to run Kraken2. Must contain viral and human sequences.	"gs://theiagen-large-public-files-rp/terra/databases/kraken2/kraken2_humanGRCh38_viralRefSeq_20240828.tar.gz"	Optional	CL	sars-cov-2
kraken2_raw	memory	String	Amount of memory/RAM (in GB) to allocate to the task	8	Optional	CL	sars-cov-2
kraken2_raw	read_processing	String	The tool used for trimming of primers from reads. Options are trimmomatic and fastp	trimmomatic	Optional		HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
kraken2_raw	read2	File	Internal component, do not modify		Do not modify, Optional	CL	sars-cov-2
nanoplot_clean	cpu	Int	Number of CPUs to allocate to the task	4	Optional	ONT	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
nanoplot_clean	disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	ONT	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
nanoplot_clean	docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/nanoplot:1.40.0	Optional	ONT	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
nanoplot_clean	max_length	Int	The maximum length of clean reads, for which reads longer than the length specified will be hidden.	100000	Optional	ONT	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
nanoplot_clean	memory	Int	Amount of memory/RAM (in GB) to allocate to the task	16	Optional	ONT	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
nanoplot_raw	cpu	Int	Number of CPUs to allocate to the task	4	Optional	ONT	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
nanoplot_raw	disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	ONT	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
nanoplot_raw	docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/nanoplot:1.40.0	Optional	ONT	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
nanoplot_raw	max_length	Int	The maximum length of clean reads, for which reads longer than the length specified will be hidden.	100000	Optional	ONT	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
nanoplot_raw	memory	Int	Amount of memory/RAM (in GB) to allocate to the task	16	Optional	ONT	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
ncbi_scrub_se	cpu	Int	Number of CPUs to allocate to the task	4	Optional	CL	sars-cov-2
ncbi_scrub_se	disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	CL	sars-cov-2
ncbi_scrub_se	docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/ncbi/sra-human-scrubber:2.2.1	Optional	CL	sars-cov-2
ncbi_scrub_se	memory	Int	Amount of memory/RAM (in GB) to allocate to the task	8	Optional	CL	sars-cov-2
nextclade_output_parser	cpu	Int	Number of CPUs to allocate to the task	2	Optional	ONT, PE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
nextclade_output_parser	disk_size	Int	Amount of storage (in GB) to allocate to the task	50	Optional	ONT, PE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
nextclade_output_parser	docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/python/python:3.8.18-slim	Optional	ONT, PE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
nextclade_output_parser	memory	Int	Amount of memory/RAM (in GB) to allocate to the task	2	Optional	ONT, PE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
nextclade_v3	auspice_reference_tree_json	File	An Auspice JSON phylogenetic reference tree which serves as a target for phylogenetic placement.	Inherited from nextclade dataset	Optional	CL, FASTA, ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
nextclade_v3	cpu	Int	Number of CPUs to allocate to the task	2	Optional	CL, FASTA, ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
nextclade_v3	disk_size	Int	Amount of storage (in GB) to allocate to the task	50	Optional	CL, FASTA, ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
nextclade_v3	docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/nextstrain/nextclade:3.10.2	Optional	CL, FASTA, ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
nextclade_v3	gene_annotations_gff	File	A genome annotation to specify how to translate the nucleotide sequence to proteins (genome_annotation.gff3). specifying this enables codon-informed alignment and protein alignments. See here for more info: <https://docs.nextstrain.org/projects/nextclade/en/latest/user/input-files/03-genome-annotation.html>	Inherited from nextclade dataset	Optional	CL, FASTA, ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
nextclade_v3	input_ref	File	A nucleotide sequence which serves as a reference for the pairwise alignment of all input sequences. This is also the sequence which defines the coordinate system of the genome annotation. See here for more info: <https://docs.nextstrain.org/projects/nextclade/en/latest/user/input-files/02-reference-sequence.html>	Inherited from nextclade dataset	Optional	CL, FASTA, ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
nextclade_v3	memory	Int	Amount of memory/RAM (in GB) to allocate to the task	4	Optional	CL, FASTA, ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
nextclade_v3	nextclade_pathogen_json	File	General dataset configuration file. See here for more info: <https://docs.nextstrain.org/projects/nextclade/en/latest/user/input-files/05-pathogen-config.html>	Inherited from nextclade dataset	Optional	CL, FASTA, ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
nextclade_v3	verbosity	String	other options are: "off" , "error" , "info" , "debug" , and "trace" (highest level of verbosity)	warn	Optional	CL, FASTA, ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
organism_parameters	auspice_config	File	Auspice config file used in Augur_PHB workflow.<br>Defaults set for various organisms & Flu segments. A minimal auspice config file is set in cases where organism is not specified and user does not provide an optional input config file.		Optional	Augur, CL, FASTA, ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
organism_parameters	flu_segment	String	Influenza genome segment being analyzed. Options: "HA" or "NA". Automatically determined. This input is ignored if provided for TheiaCoV_Illumina_SE and TheiaCoV_ClearLabs	N/A	Optional	CL, ONT, PE, SE	flu
organism_parameters	flu_subtype	String	The influenza subtype being analyzed. Options: "Yamagata", "Victoria", "H1N1", "H3N2", "H5N1". Automatically determined. This input is ignored if provided for TheiaCoV_Illumina_SE and TheiaCoV_ClearLabs	N/A	Optional	CL, ONT, PE, SE	flu
organism_parameters	gene_locations_bed_file	File	Use to provide locations of interest where average coverage will be calculated	Default provided for SARS-CoV-2 ("gs://theiagen-public-files-rp/terra/sars-cov-2-files/sc2_gene_locations.bed") and mpox ("gs://theiagen-public-files/terra/mpxv-files/mpox_gene_locations.bed")	Optional	CL, FASTA	
organism_parameters	genome_length_input	Int	Use to specify the expected genome length; provided by default for all supported organisms	Default provided for SARS-CoV-2 (29903), mpox (197200), WNV (11000), flu (13000), RSV-A (16000), RSV-B (16000), HIV (primer versions 1 [9181] and 2 [9840])	Optional	CL	
organism_parameters	hiv_primer_version	String	The version of HIV primers used. Options are "<https://github.com/theiagen/public_health_bioinformatics/blob/main/workflows/utilities/wf_organism_parameters.wdl#L156>" and "<https://github.com/theiagen/public_health_bioinformatics/blob/main/workflows/utilities/wf_organism_parameters.wdl#L164>". This input is ignored if provided for TheiaCoV_Illumina_SE and TheiaCoV_ClearLabs	v1	Optional	CL, FASTA, ONT, PE, SE	HIV
organism_parameters	kraken_target_organism_input	String	The organism whose abundance the user wants to check in their reads. This should be a proper taxonomic name recognized by the Kraken database.	Default provided for mpox (Monkeypox virus), WNV (West Nile virus), and HIV (Human immunodeficiency virus 1)	Optional	FASTA, ONT, SE	HIV, MPXV, WNV, rsv_a, rsv_b, sars-cov-2
organism_parameters	pangolin_docker_image	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/pangolin:4.3.1-pdata-1.33	Optional	CL, FASTA	
organism_parameters	primer_bed_file	File	The bed file containing the primers used when sequencing was performed	REQUIRED FOR SARS-CoV-2, MPOX, WNV, RSV-A & RSV-B. Provided by default only for HIV primer versions 1 ("gs://theiagen-public-files/terra/hivgc-files/HIV-1_v1.0.primer.hyphen.bed" and 2 ("gs://theiagen-public-files/terra/hivgc-files/HIV-1_v2.0.primer.hyphen400.1.bed")	Optional, Sometimes required	CL, FASTA	
organism_parameters	reference_gff_file	File	Reference GFF file for the organism being analyzed	Default provided for mpox ("gs://theiagen-public-files/terra/mpxv-files/Mpox-MT903345.1.reference.gff3") and HIV (primer versions 1 ["gs://theiagen-public-files/terra/hivgc-files/NC_001802.1.gff3"] and 2 ["gs://theiagen-public-files/terra/hivgc-files/AY228557.1.gff3"])	Optional	CL, FASTA, ONT	
organism_parameters	vadr_max_length	Int	Maximum length for the fasta-trim-terminal-ambigs.pl VADR script	Default provided for SARS-CoV-2 (30000), mpox (210000), WNV (11000), flu (0), RSV-A (15500) and RSV-B (15500).	Optional	CL	
organism_parameters	vadr_memory	Int	Amount of memory/RAM (in GB) to allocate to the task	32 (RSV-A and RSV-B) and 8 (all other TheiaCoV organisms)	Optional	CL, ONT, PE, SE	MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
