Name	Description	Applicable Kingdom	Workflow Level	Workflow Type	Command-line Compatibility	Last Known Changes	Dockstore
[**NCBI-AMRFinderPlus**](../workflows/standalone/ncbi_amrfinderplus.md)	Runs NCBI's AMRFinderPlus on genome assemblies (bacterial and fungal)	Bacteria, Mycotics	Sample-level	Standalone	Yes	v3.0.1	[NCBI-AMRFinderPlus_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/NCBI-AMRFinderPlus_PHB:main?tab=info)
[**NCBI_Scrub**](../workflows/standalone/ncbi_scrub.md)	Runs NCBI's HRRT on Illumina FASTQs	Any taxa	Sample-level	Standalone	Yes	v2.2.1	[NCBI_Scrub_PE_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/NCBI_Scrub_PE_PHB:main?tab=info), [NCBI_Scrub_SE_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/NCBI_Scrub_SE_PHB:main?tab=info)
[**Pangolin_Update**](../workflows/genomic_characterization/pangolin_update.md)	Update Pangolin assignments	SARS-CoV-2, Viral	Sample-level	Genomic Characterization	Yes	v3.0.1	[Pangolin_Update_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Pangolin_Update_PHB:main?tab=info)
[**RASUSA**](../workflows/standalone/rasusa.md)	Randomly subsample sequencing reads to a specified coverage	Any taxa	Sample-level	Standalone	Yes	v3.0.0	[RASUSA_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/RASUSA_PHB:main?tab=info)
[**Rename_FASTQ**](../workflows/standalone/rename_fastq.md)	Rename paired-end or single-end read files in a Terra data table in a non-destructive way	Any taxa	Sample-level	Standalone	Yes	v2.1.0	[Rename_FASTQ_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Rename_FASTQ_PHB:im-utilities-rename-files?tab=info)
[**Samples_to_Ref_Tree**](../workflows/phylogenetic_placement/samples_to_ref_tree.md)	Use Nextclade to rapidly and accurately place your samples on any existing phylogenetic tree	Monkeypox virus, SARS-CoV-2, Viral	Sample-level, Set-level	Phylogenetic Placement	Yes	v2.1.0	[Samples_to_Ref_Tree_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Samples_to_Ref_Tree_PHB:main?tab=info)
[**Snippy_Streamline**](../workflows/phylogenetic_construction/snippy_streamline.md)	Implementation of Snippy workflows for phylogenetic analysis from reads, with optional dynamic reference selection	Bacteria	Set-level	Phylogenetic Construction	Yes	v3.0.0	[Snippy_Streamline_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Snippy_Streamline_PHB:main?tab=info)
[**Snippy_Streamline_FASTA**](../workflows/phylogenetic_construction/snippy_streamline_fasta.md)	Implementation of Snippy workflows for phylogenetic analysis from assembled genomes (in FASTA format), with optional dynamic reference selection	Bacteria	Set-level	Phylogenetic Construction	Yes	v3.0.0	[Snippy_Streamline_FASTA_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Snippy_Streamline_FASTA_PHB:im-snippy-fasta-dev?tab=info)
[**Snippy_Tree**](../workflows/phylogenetic_construction/snippy_tree.md)	SNP-based phylogenetic analysis from reads, with option to mask recombination	Bacteria	Set-level	Phylogenetic Construction	Some optional features incompatible, Yes	v3.0.0	[Snippy_Tree_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Snippy_Tree_PHB:main?tab=info)
[**Snippy_Variants**](../workflows/phylogenetic_construction/snippy_variants.md)	Alignment of reads to a reference genome, then SNP calling	Bacteria, Mycotics, Viral	Sample-level	Phylogenetic Construction	Yes	v2.3.0	[Snippy_Variants_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Snippy_Variants_PHB:main?tab=info)
[**SRA_Fetch**](../workflows/data_import/sra_fetch.md)	Import publicly available reads from SRA using SRR#, ERR# or DRR#	Any taxa	Sample-level	Data Import	Yes	v2.2.0	[SRA_Fetch_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/SRA_Fetch_PHB:main?tab=info)
[**TBProfiler_tNGS**](../workflows/standalone/tbprofiler_tngs.md)	Performs in silico antimicrobial susceptibility testing on Mycobacterium tuberculosis targeted-NGS samples with TBProfiler and tbp-parser	Bacteria, TB	Sample-level	Standalone	Yes	v3.0.1	[TBProfiler_tNGS_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/TBProfiler_tNGS_PHB:main?tab=info)
[**Terra_2_GISAID**](../workflows/public_data_sharing/terra_2_gisaid.md)	Upload of assembly data to GISAID	SARS-CoV-2, Viral	Set-level	Public Data Sharing	Yes	v1.2.1	[Terra_2_GISAID_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Terra_2_GISAID_PHB:main?tab=info)
[**Terra_2_NCBI**](../workflows/public_data_sharing/terra_2_ncbi.md)	Upload of sequence data to NCBI	Bacteria, Mycotics, Viral	Set-level	Public Data Sharing	No	v3.0.0	[Terra_2_NCBI_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Terra_2_NCBI_PHB:main?tab=info)
[**TheiaCov Workflow Series**](../workflows/genomic_characterization/theiacov.md)	Viral genome assembly, QC and characterization from amplicon sequencing	HIV, Influenza, Monkeypox virus, RSV-A, RSV-B, SARS-CoV-2, Viral, WNV	Sample-level, Set-level	Genomic Characterization	Some optional features incompatible, Yes	v3.0.1	[TheiaCoV_Illumina_PE_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/TheiaCoV_Illumina_PE_PHB:main?tab=info), [TheiaCoV_Illumina_SE_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/TheiaCoV_Illumina_SE_PHB:main?tab=info), [TheiaCoV_ONT_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/TheiaCoV_ONT_PHB:main?tab=info), [TheiaCoV_ClearLabs_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/TheiaCoV_ClearLabs_PHB:main?tab=info), [TheiaCoV_FASTA_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/TheiaCoV_FASTA_PHB:main?tab=info), [TheiaCoV_FASTA_Batch_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/TheiaCoV_FASTA_Batch_PHB:main?tab=info)
[**TheiaEuk**](../workflows/genomic_characterization/theiaeuk.md)	Mycotic genome assembly, QC and characterization from WGS data	Mycotics	Sample-level	Genomic Characterization	Some optional features incompatible, Yes	v3.0.1	[TheiaEuk_Illumina_PE_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/TheiaEuk_Illumina_PE_PHB:main?tab=info)
[**TheiaMeta**](../workflows/genomic_characterization/theiameta.md)	Genome assembly and QC from metagenomic sequencing	Any taxa	Sample-level	Genomic Characterization	Yes	v3.0.0	[TheiaMeta_Illumina_PE_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/TheiaMeta_Illumina_PE_PHB:main?tab=info)
[**TheiaProk Workflow Series**](../workflows/genomic_characterization/theiaprok.md)	Bacterial genome assembly, QC and characterization from WGS data	Bacteria	Sample-level	Genomic Characterization	Some optional features incompatible, Yes	vX.X.X	[TheiaProk_Illumina_PE_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/TheiaProk_Illumina_PE_PHB:main?tab=info), [TheiaProk_Illumina_SE_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/TheiaProk_Illumina_SE_PHB:main?tab=info), [TheiaProk_ONT_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/TheiaProk_ONT_PHB:main?tab=info), [TheiaProk_FASTA_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/TheiaProk_FASTA_PHB:main?tab=info)
[**TheiaValidate**](../workflows/standalone/theiavalidate.md)	This workflow performs basic comparisons between user-designated columns in two separate tables.	Any taxa		Standalone	No	v3.0.0	[TheiaValidate_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/TheiaValidate_PHB:main?tab=info)
[**Transfer_Column_Content**](../workflows/data_export/transfer_column_content.md)	Transfer contents of a specified Terra data table column for many samples ("entities") to a GCP storage bucket location	Any taxa	Set-level	Exporting Data from Terra	Yes	v1.3.0	[Transfer_Column_Content_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Transfer_Column_Content_PHB:main?tab=info)
[**Usher**](../workflows/phylogenetic_placement/usher.md)	Use UShER to rapidly and accurately place your samples on any existing phylogenetic tree	Monkeypox virus, SARS-CoV-2, Viral	Sample-level, Set-level	Phylogenetic Placement	Yes	v2.1.0	[Usher_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Usher_PHB:main?tab=info)
[**VADR_Update**](../workflows/genomic_characterization/vadr_update.md)	Update VADR assignments	HAV, Influenza, Monkeypox virus, RSV-A, RSV-B, SARS-CoV-2, Viral, WNV	Sample-level	Genomic Characterization	Yes	v3.0.1	[VADR_Update_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/VADR_Update_PHB:main?tab=info)
[**Zip_Column_Content**](../workflows/data_export/zip_column_content.md)	Zip contents of a specified Terra data table column for many samples ("entities")	Any taxa	Set-level	Exporting Data from Terra	Yes	v2.1.0	[Zip_Column_Content_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Zip_Column_Content_PHB:main?tab=info)
